,Unnamed: 0,node1,node2,label,nb_common_labels,nb_common_genres,squared_popularity_diff,cn,pa,tn,minTriangles,maxTriangles,minCoefficient,maxCoefficient,sp,sl
2,3392,2440,2398,0,0.0,0.0,12,0.0,20.0,19.0,0,86,0.0,0.5620915032679739,0.0,0.0
3,2469,2632,2778,0,0.0,0.0,29,0.0,6.0,4.0,1,1,1.0,1.0,0.0,0.0
4,1499,2608,1123,0,0.0,0.0,38,0.0,3.0,2.0,0,0,0.0,0.0,0.0,0.0
0,1252,2010,7444,0,0.0,0.0,65,0.0,16.0,16.0,0,3,0.0,0.02857142857142857,0.0,0.0
1,2883,2240,2214,0,1.0,0.0,19,1.0,138.0,27.0,15,87,0.37662337662337664,1.0,0.0,0.0
2,2007,2592,2738,0,0.0,0.0,3,0.0,6.0,5.0,1,3,1.0,1.0,0.0,0.0
3,3102,83,8433,0,0.0,0.0,49,0.0,4.0,4.0,0,1,0.0,1.0,0.0,0.0
4,351,2662,8012,0,0.0,0.0,54,0.0,50.0,19.0,1,30,0.22058823529411764,1.0,0.0,0.0
0,1648,2193,2930,0,0.0,0.0,13,0.0,150.0,20.0,4,100,0.4,0.9523809523809523,0.0,0.0
1,3425,406,7978,0,0.0,0.0,27,0.0,130.0,17.0,11,13,0.28888888888888886,0.5238095238095238,0.0,0.0
2,1003,1031,5689,0,0.0,0.0,76,0.0,14.0,7.0,0,2,0.0,0.13333333333333333,0.0,0.0
3,1633,162,7930,0,0.0,0.0,20,0.0,90.0,18.0,1,15,0.06666666666666667,0.22727272727272727,0.0,0.0
4,3804,2585,7434,0,0.0,0.0,51,0.0,73.0,56.0,0,34,0.0,0.022895622895622896,0.0,0.0
0,449,586,2594,0,0.0,0.0,41,0.0,16.0,7.0,1,2,0.2,1.0,0.0,0.0
1,2713,2632,2655,0,0.0,2.0,14,0.0,3.0,3.0,0,1,0.0,1.0,0.0,0.0
2,2315,1965,2947,0,0.0,0.0,8,0.0,11.0,9.0,0,5,0.0,0.17857142857142858,0.0,0.0
3,914,2568,2619,0,1.0,0.0,29,0.0,13.0,14.0,0,7,0.0,0.08974358974358974,1.0,1.0
4,2733,309,7964,0,0.0,0.0,34,0.0,12.0,6.0,0,2,0.0,0.2,0.0,0.0
0,2422,855,1352,0,0.0,0.0,35,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
1,3150,2104,5406,0,0.0,0.0,27,0.0,12.0,6.0,0,5,0.0,0.5,0.0,0.0
2,2573,2711,2519,0,1.0,0.0,13,1.0,40.0,8.0,1,10,0.3333333333333333,0.6666666666666666,1.0,0.0
3,3385,2734,7964,0,0.0,0.0,14,0.0,4.0,3.0,0,0,0.0,0.0,0.0,0.0
4,3468,2643,7930,0,0.0,0.0,14,0.0,135.0,21.0,5,15,0.1388888888888889,0.22727272727272727,0.0,0.0
0,4855,2610,379,0,0.0,0.0,9,0.0,16.0,6.0,0,4,0.0,0.4,0.0,0.0
1,1551,456,618,0,0.0,0.0,56,0.0,80.0,34.0,1,11,0.02217741935483871,1.0,0.0,0.0
2,3829,1975,1508,0,0.0,0.0,2,0.0,3.0,4.0,0,3,0.0,1.0,0.0,0.0
3,2099,2219,8573,0,0.0,0.0,26,0.0,36.0,22.0,0,84,0.0,0.4,0.0,0.0
4,2871,1001,440,0,0.0,0.0,57,0.0,1.0,2.0,0,0,0.0,0.0,0.0,0.0
0,4583,1104,7986,0,0.0,0.0,8,0.0,12.0,7.0,0,4,0.0,0.6666666666666666,0.0,0.0
1,4519,2562,3934,0,0.0,0.0,6,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
2,258,2275,2204,0,0.0,0.0,19,1.0,186.0,13.0,0,26,0.0,0.3939393939393939,1.0,1.0
3,4655,217,338,0,0.0,0.0,20,0.0,17.0,12.0,0,19,0.0,0.34545454545454546,0.0,0.0
4,118,2414,2431,0,1.0,0.0,4,1.0,36.0,14.0,0,40,0.0,0.5128205128205128,0.0,0.0
0,4801,1766,4370,0,0.0,0.0,8,0.0,6.0,4.0,0,0,0.0,0.0,0.0,0.0
1,3950,1068,7891,0,0.0,0.0,34,0.0,15.0,6.0,0,1,0.0,0.1,0.0,0.0
2,4533,2417,7558,0,0.0,0.0,1,0.0,12.0,8.0,1,14,0.9333333333333333,1.0,0.0,0.0
3,2198,584,7894,0,0.0,0.0,65,0.0,36.0,12.0,2,11,0.3055555555555556,0.6666666666666666,0.0,0.0
