,Unnamed: 0,node1,node2,label,nb_common_labels,nb_common_genres,squared_popularity_diff,cn,pa,tn,minTriangles,maxTriangles,minCoefficient,maxCoefficient,sp,sl
0,1962,7034,7286,0,0.0,0.0,26,0.0,880.0,37.0,5,14,0.032679738562091505,0.08187134502923976,0.0,0.0
0,1963,7034,7296,0,0.0,0.0,9,0.0,2640.0,89.0,5,113,0.032679738562091505,0.0454728370221328,0.0,0.0
0,1964,7034,7272,0,0.0,0.0,18,0.0,2140.0,70.0,5,81,0.032679738562091505,0.06108597285067873,0.0,0.0
0,1965,7034,7347,0,0.0,0.0,18,0.0,280.0,29.0,5,6,0.032679738562091505,0.10909090909090909,0.0,0.0
0,1966,7034,7314,0,0.0,0.0,20,0.0,3220.0,103.0,5,139,0.032679738562091505,0.03893557422969188,0.0,0.0
0,1967,7034,198,0,0.0,0.0,34,0.0,1820.0,69.0,5,85,0.032679738562091505,0.06666666666666667,0.0,0.0
0,1968,7034,7303,0,0.0,0.0,54,0.0,220.0,26.0,5,17,0.032679738562091505,0.6071428571428571,0.0,0.0
0,1969,7034,7376,0,0.0,0.0,33,0.0,4660.0,118.0,5,101,0.020404040404040404,0.032679738562091505,0.0,0.0
0,1970,7034,7103,0,0.0,0.0,22,1.0,60.0,20.0,2,5,0.032679738562091505,0.6666666666666666,0.0,0.0
0,1971,7034,7278,0,0.0,0.0,7,0.0,20.0,19.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1972,7034,7281,0,0.0,0.0,30,0.0,380.0,31.0,5,16,0.032679738562091505,0.20512820512820512,0.0,0.0
0,1973,7034,7284,0,0.0,0.0,10,0.0,200.0,26.0,5,7,0.032679738562091505,0.25,0.0,0.0
0,1974,7034,7285,0,0.0,0.0,10,0.0,300.0,31.0,5,8,0.032679738562091505,0.10256410256410256,0.0,0.0
0,1975,7034,7301,0,0.0,0.0,24,0.0,7260.0,69.0,5,137,0.032679738562091505,0.10745098039215686,0.0,0.0
0,1976,7034,7305,0,0.0,0.0,64,0.0,20.0,19.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1977,7034,7307,0,0.0,0.0,54,0.0,20.0,19.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1978,7034,7315,0,0.0,0.0,7,0.0,3220.0,96.0,5,42,0.013986013986013986,0.032679738562091505,0.0,0.0
0,1979,7034,7330,0,0.0,0.0,6,0.0,440.0,38.0,5,13,0.032679738562091505,0.06842105263157895,0.0,0.0
0,1980,7034,7334,0,0.0,0.0,24,0.0,100.0,23.0,3,5,0.032679738562091505,0.3,0.0,0.0
0,1981,7034,7335,0,0.0,0.0,1,0.0,180.0,26.0,5,5,0.032679738562091505,0.17857142857142858,0.0,0.0
0,1982,7034,7342,0,0.0,0.0,40,0.0,500.0,35.0,5,9,0.032679738562091505,0.0661764705882353,0.0,0.0
0,1983,7034,7346,0,0.0,0.0,63,0.0,80.0,21.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1984,7034,7351,0,0.0,0.0,72,0.0,20.0,19.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1985,7034,7350,0,0.0,0.0,7,0.0,880.0,34.0,5,18,0.032679738562091505,0.15,0.0,0.0
0,1986,7034,7361,0,0.0,0.0,29,0.0,80.0,21.0,3,5,0.032679738562091505,1.0,0.0,0.0
0,1987,7034,7362,0,0.0,0.0,50,0.0,540.0,44.0,5,15,0.032679738562091505,0.046153846153846156,0.0,0.0
0,1988,7034,7366,0,0.0,0.0,58,0.0,260.0,20.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1989,7034,7374,0,0.0,0.0,62,0.0,20.0,19.0,0,5,0.0,0.032679738562091505,0.0,0.0
0,1990,7034,7373,0,0.0,0.0,51,0.0,540.0,28.0,5,10,0.032679738562091505,0.2222222222222222,0.0,0.0
0,1991,7034,7375,0,0.0,0.0,45,0.0,760.0,31.0,5,20,0.032679738562091505,0.2564102564102564,0.0,0.0
0,1992,7034,7377,0,0.0,0.0,29,0.0,420.0,37.0,5,27,0.032679738562091505,0.15789473684210525,0.0,0.0
0,1993,7034,7378,0,0.0,0.0,48,0.0,360.0,32.0,5,32,0.032679738562091505,0.3516483516483517,0.0,0.0
0,1994,7034,7379,0,0.0,0.0,75,0.0,80.0,22.0,5,6,0.032679738562091505,1.0,0.0,0.0
0,1995,7034,7341,0,0.0,0.0,40,0.0,580.0,29.0,5,22,0.032679738562091505,0.4,0.0,0.0
0,1996,7034,210,0,0.0,0.0,34,0.0,740.0,43.0,5,30,0.032679738562091505,0.1,0.0,0.0
0,1997,7034,540,0,0.0,0.0,67,0.0,140.0,23.0,5,7,0.032679738562091505,0.7,0.0,0.0
0,1998,7034,541,0,0.0,0.0,68,0.0,80.0,22.0,5,5,0.032679738562091505,0.8333333333333334,0.0,0.0
0,1999,7034,667,0,0.0,0.0,40,0.0,160.0,25.0,5,13,0.032679738562091505,0.6190476190476191,0.0,0.0
0,2000,7034,227,0,0.0,0.0,59,0.0,300.0,30.0,5,23,0.032679738562091505,0.3484848484848485,0.0,0.0
0,2001,7034,1282,0,0.0,0.0,23,0.0,60.0,20.0,1,5,0.032679738562091505,1.0,0.0,0.0
0,2002,7034,7348,0,0.0,0.0,17,0.0,680.0,35.0,5,31,0.032679738562091505,0.22794117647058823,0.0,0.0
0,2003,7034,201,0,0.0,0.0,22,0.0,80.0,21.0,2,5,0.032679738562091505,0.6666666666666666,0.0,0.0
0,2004,7034,530,0,0.0,0.0,74,0.0,520.0,25.0,5,9,0.032679738562091505,0.42857142857142855,0.0,0.0
0,2005,7034,574,0,0.0,0.0,76,0.0,160.0,24.0,5,11,0.032679738562091505,0.7333333333333333,0.0,0.0
0,2006,7034,583,0,0.0,0.0,76,0.0,260.0,28.0,5,16,0.032679738562091505,0.35555555555555557,0.0,0.0
0,2007,7034,566,0,0.0,0.0,76,0.0,340.0,28.0,5,16,0.032679738562091505,0.35555555555555557,0.0,0.0
0,2008,7034,7365,0,0.0,0.0,4,0.0,660.0,43.0,5,12,0.032679738562091505,0.04,0.0,0.0
0,2009,7034,591,0,0.0,0.0,58,0.0,500.0,26.0,5,9,0.032679738562091505,0.32142857142857145,0.0,0.0
0,2010,7034,7271,0,0.0,0.0,18,0.0,660.0,31.0,5,5,0.032679738562091505,0.0641025641025641,0.0,0.0
0,2011,7034,7279,0,0.0,0.0,33,0.0,40.0,20.0,1,5,0.032679738562091505,1.0,0.0,0.0
