artist_urn,artist_name,track_name,track_id,track_date,featuring_artist_urn,featuring_artist_name
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Clic clac (feat. 13 Block),7znQW9RxQLTk0hvTWgIrgy,2019-08-02,7rTPCNINGzMp3Hc8Xqht5Z,13 Block
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Madonna (feat. A.CHAL),5KhZoPuoD531GxjkJUI3i9,2019-08-02,0pkwrPVI8UyXtPkavyJoZ4,A.CHAL
5gs4Sm2WQUkcGeikMcVHbh,Hamza,HS (feat. SCH),2JAO138j1wJjQ2mmm7aAbP,2019-03-01,2kXKa3aAFngGz2P4GjG5w2,SCH
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Dale x Love Therapy (feat. Aya Nakamura),0sMcHdKAjVSNuNnPchQu4S,2019-03-01,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Minuit 13 (feat. Christine and the Queens & Oxmo Puccino),1fTGud5T8TUecNuEFVMD3y,2019-03-01,04vj3iPUiVh5melWr0w3xT,Christine and the Queens
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Broccoli (feat. Dolfa),6J01JOxFuFrzqa42C3ctZr,2017-06-26,4tYq6yvHUighhKUCd2WyUw,Dolfa
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Rari,3x9TIgQb459eU5j0fPxOo4,2016-06-24,5kE0wiESGMQu2oI4GBc8VC,Joke
5gs4Sm2WQUkcGeikMcVHbh,Hamza,House,2uy5xQWe9fmkkRAM3UfX6I,2016-06-24,0k4pFokUZ3NgnaFKSkfVp1,B La B
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Slow,5TOUaD87ZS328pTUp00qMe,2016-06-24,2UwqpfQtNuhBwviIC0f2ie,Damso
5gqmbbfjcikQBzPB5Hv13I,Gazo,Drill FR 5 (feat. Hamza),5xygfcGSdzW69OOSqYi3iD,2020-10-02,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2eh8cEKZk4VeruUrGq748D,Rim'K,Nuit blanche,1C5101l7VEAzZUEbrQPB5X,2020-04-08,5gs4Sm2WQUkcGeikMcVHbh,Hamza
0wUD0Q5YZchgEGt7Xh7bXI,Hamza Faruqui,Roam Roam,6tdfUjaAnLcUkghFlAuxFP,2020-04-06,1qLsQPPj2FCJTWLbfvsiC3,DJ Tushqa
5LJxxYDSr8p6hKli1zXAvP,CYPH3R,SIX,79p21baTD3qV5APiTvX36N,2020-01-26,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,"Maghreb Gang (feat. French Montana, Khaled & HAMZA) - Saucegod Remix",3Ywc4fhNqq1BZRHZbnvHqX,2019-06-28,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5gs4Sm2WQUkcGeikMcVHbh,Hamza,HS (feat. SCH),3Orh7rBLR3SbekWQQs3N1L,2019-02-22,2kXKa3aAFngGz2P4GjG5w2,SCH
4WUGQykLBGFfsl0Qjl6TDM,The Magician,Love Break,1lujZsdHy71lGfZkXWDnEH,2018-03-30,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,Chanting Spirits - Hamza Remix,3xOEPfD5T7G4ogciTdhJoO,2016-03-28,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,InTense - Arsenic P Remix,0pYBuGrwbZY4jN5lCxDkLY,2016-03-28,3m5an0nmAvn91otHFaumcx,Arsenic P
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,InTense - Sashwat Remix,5kbSEYYDIrJBDMtA99n9AI,2016-03-28,2bGPQq0wkEUs5KEsa1zwt1,Sashwat
5gs4Sm2WQUkcGeikMcVHbh,Hamza,God Bless (feat. Damso),2oT2g4vkjRaFOcUtdOf9eg,2019-12-20,2UwqpfQtNuhBwviIC0f2ie,Damso
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Benzo (feat. Young ADZ),3LMZ4sluo2yLWlArzPPlhA,2019-12-20,396eHybVCEUr0PcED4yFga,Young Adz
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Gasolina (feat. Gambi),1Wfe6IKCZDWqKSXNmn2tvt,2019-12-20,1lB3I3SI30v2ZOpR4XQqzJ,Gambi
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Bac +12 (feat. Koba LaD),2wCgClGyC7FyXLu5ZVAdey,2019-12-20,1q7T9rFQ2a2ukA1PU51fo3,Koba LaD
5gs4Sm2WQUkcGeikMcVHbh,Hamza,God Bless (feat. Damso),1NPCzLUr7hczTXX2Z5Azt9,2019-12-20,2UwqpfQtNuhBwviIC0f2ie,Damso
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Benzo (feat. Young ADZ),3YZdYh5l9UjOTzmxqqXN38,2019-12-20,396eHybVCEUr0PcED4yFga,Young Adz
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Gasolina (feat. Gambi),6Ed9pGmIo0qsnAkx4zlJTK,2019-12-20,1lB3I3SI30v2ZOpR4XQqzJ,Gambi
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Bac +12 (feat. Koba LaD),2XinDlZRvhnvA90gr8mh2F,2019-12-20,1q7T9rFQ2a2ukA1PU51fo3,Koba LaD
5gs4Sm2WQUkcGeikMcVHbh,Hamza,HS (feat. SCH),2C6Ay5JyiLVQaIBsZJRd37,2019-08-02,2kXKa3aAFngGz2P4GjG5w2,SCH
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Dale x Love Therapy (feat. Aya Nakamura),4rRIKgqYV6B9rxc2Umg2Ax,2019-08-02,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Minuit 13 (feat. Christine and the Queens & Oxmo Puccino),7nvBZXCbIByWh7QoLCVLth,2019-08-02,04vj3iPUiVh5melWr0w3xT,Christine and the Queens
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Clic clac (feat. 13 Block),7znQW9RxQLTk0hvTWgIrgy,2019-08-02,7rTPCNINGzMp3Hc8Xqht5Z,13 Block
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Madonna (feat. A.CHAL),5KhZoPuoD531GxjkJUI3i9,2019-08-02,0pkwrPVI8UyXtPkavyJoZ4,A.CHAL
5gs4Sm2WQUkcGeikMcVHbh,Hamza,HS (feat. SCH),2JAO138j1wJjQ2mmm7aAbP,2019-03-01,2kXKa3aAFngGz2P4GjG5w2,SCH
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Dale x Love Therapy (feat. Aya Nakamura),0sMcHdKAjVSNuNnPchQu4S,2019-03-01,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Minuit 13 (feat. Christine and the Queens & Oxmo Puccino),1fTGud5T8TUecNuEFVMD3y,2019-03-01,04vj3iPUiVh5melWr0w3xT,Christine and the Queens
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Broccoli (feat. Dolfa),6J01JOxFuFrzqa42C3ctZr,2017-06-26,4tYq6yvHUighhKUCd2WyUw,Dolfa
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Rari,3x9TIgQb459eU5j0fPxOo4,2016-06-24,5kE0wiESGMQu2oI4GBc8VC,Joke
5gs4Sm2WQUkcGeikMcVHbh,Hamza,House,2uy5xQWe9fmkkRAM3UfX6I,2016-06-24,0k4pFokUZ3NgnaFKSkfVp1,B La B
5gs4Sm2WQUkcGeikMcVHbh,Hamza,Slow,5TOUaD87ZS328pTUp00qMe,2016-06-24,2UwqpfQtNuhBwviIC0f2ie,Damso
5gqmbbfjcikQBzPB5Hv13I,Gazo,Drill FR 5 (feat. Hamza),5xygfcGSdzW69OOSqYi3iD,2020-10-02,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2eh8cEKZk4VeruUrGq748D,Rim'K,Nuit blanche,1C5101l7VEAzZUEbrQPB5X,2020-04-08,5gs4Sm2WQUkcGeikMcVHbh,Hamza
0wUD0Q5YZchgEGt7Xh7bXI,Hamza Faruqui,Roam Roam,6tdfUjaAnLcUkghFlAuxFP,2020-04-06,1qLsQPPj2FCJTWLbfvsiC3,DJ Tushqa
5LJxxYDSr8p6hKli1zXAvP,CYPH3R,SIX,79p21baTD3qV5APiTvX36N,2020-01-26,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,"Maghreb Gang (feat. French Montana, Khaled & HAMZA) - Saucegod Remix",3Ywc4fhNqq1BZRHZbnvHqX,2019-06-28,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5gs4Sm2WQUkcGeikMcVHbh,Hamza,HS (feat. SCH),3Orh7rBLR3SbekWQQs3N1L,2019-02-22,2kXKa3aAFngGz2P4GjG5w2,SCH
4WUGQykLBGFfsl0Qjl6TDM,The Magician,Love Break,1lujZsdHy71lGfZkXWDnEH,2018-03-30,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,Chanting Spirits - Hamza Remix,3xOEPfD5T7G4ogciTdhJoO,2016-03-28,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,InTense - Arsenic P Remix,0pYBuGrwbZY4jN5lCxDkLY,2016-03-28,3m5an0nmAvn91otHFaumcx,Arsenic P
5lRx27B83UWdoCswtgSrsF,Tanmoy Sen,InTense - Sashwat Remix,5kbSEYYDIrJBDMtA99n9AI,2016-03-28,2bGPQq0wkEUs5KEsa1zwt1,Sashwat
2UwqpfQtNuhBwviIC0f2ie,Damso,BXL ZOO,7BO3y8lmogACezwHqZ1HTB,2020-09-17,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2UwqpfQtNuhBwviIC0f2ie,Damso,COEUR EN MIETTES,32arZ09m8FH1vTNJn2xdmH,2020-09-17,2HPiMwJktBXqakN0hnON2R,Lous and The Yakuza
2UwqpfQtNuhBwviIC0f2ie,Damso,FAIS ÇA BIEN,0xdp7mJS34hDsLrO6TPCp3,2020-09-17,6IflU2YrY5Cyw7YoBICosV,Fally Ipupa
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Tichy,4aPjSvfUjKa3GXkP5clVni,2020-09-15,5mtaU1uKbVJpkeaBWK8JfQ,Fianso
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Comme jamais,1u9NdFI6wsf0PStRDeZO9f,2020-09-15,0mmk05vTtGGG2jYwLxRHwy,Zed
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Ça fait des années,2eB65LGAQrHe9tHtn3U2oa,2020-09-15,6vZXamchcIOKzC1c3Elp4J,Cheb Mami
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Meleğim,7gL0Ov0dA0lAwKgwjouJy3,2020-09-15,4sbXXFzEWJY2zsZjelerjX,Dadju
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Maryline,2VdrFWWoM5PgX6Rnh8bdRG,2020-09-15,2kXKa3aAFngGz2P4GjG5w2,SCH
